Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дейсун,Вʼячеслав,Олегович,Чоловіча,1942-05-01,Астроном,місто Прип'ять ,"провулок Східний 1-й, буд. 681, Прип'ять , 69485",+380 45 721-45-41,serhiitsarenko@example.net
Якименко,Розалія,Михайлівна,Жіноча,1973-09-29,Локсмайстер,хутір Борщів,"вулиця Купріна, буд. 9, Українка , 99246",080 279-10-28,oleksa06@example.org
Яремчук,Ліза,Сергіївна,Жіноча,1968-01-04,Дантист,хутір Скадовськ,"шосе Коблевська, буд. 78 кв. 06, П'ятихатки, 59360",759-61-52,rostyslav47@example.org
Дашкевич,Стефан,Іванович,Чоловіча,1975-01-23,Кіноактор,селище Рубіжне,"узвіз Новоселів, буд. 1 кв. 10, Золочів, 29224",245 02 20,ezakharchenko@example.net
Ільченко,Вадим,Іванович,Чоловіча,2002-08-03,Дантист,хутір Борислав,"сквер Севастопольський, буд. 593 кв. 280, Кремінна, 75339",144 18 42,ivashchenkozorian@example.com
Микитюк,Августин,Федорович,Чоловіча,1981-10-11,Круп'є,село Славутич,"площа Магнітогорський 3-й, буд. 586 кв. 351, Перещепине, 89340",+380 (02) 482-82-49,boryslavtsybulenko@example.org
Пушкар,Юстим,Володимирович,Чоловіча,1972-12-16,Різноробочий,селище Волноваха,"проспект Новікова 2-га, буд. 6 кв. 9, Джанкой, 13175",+380 (25) 342-91-74,hlibaronets@example.com
Худобʼяк,Віолетта,Григорівна,Жіноча,1947-08-19,Пекар,хутір Кам'янка (Черкаська область),"шосе Святослава Ріхтера, буд. 24 кв. 242, Мукачево, 15455",+380 67 036 11 02,ieroshenkoliliia@example.net
Абрамчук,Ірена,Миколаївна,Жіноча,1939-06-28,Флорист,місто Білозерське,"сквер Куликове поле, буд. 832, Винники, 87875",+380 56 777-34-83,pasaula@example.net
Годунок,Ілля,Євгенович,Чоловіча,1938-10-02,Машиніст,місто Рава-Руська,"узвіз Фестивальний, буд. 222, Ківерці, 45331",729-96-63,siaremkiv@example.com
Малишко,Богодар,Андрійович,Чоловіча,1941-03-21,Єгер,хутір Львів,"вулиця Канатний, буд. 129 кв. 9, Ржищів, 78475",+380 62 348-14-23,xvovk@example.org
Акименко,Григорій,Степанович,Чоловіча,1939-03-09,Інженер,селище Мелітополь,"шосе Марії Демченко, буд. 821, Чортків, 09434",+380 (68) 636-45-51,snizhana30@example.net
Лупій,Варфоломій,Романович,Чоловіча,1940-03-09,Громадський діяч,хутір Зміїв,"узвіз Середньофонтанська, буд. 043 кв. 46, Кілія, 70178",090 513 39 51,oryna47@example.com
Цушко,Ірена,Василівна,Жіноча,1962-11-28,Пілот,селище Вознесенськ,"провулок Дальницьке, буд. 10 кв. 45, Звенигородка, 38524",+380 (46) 339-00-84,demianazhazha@example.org
Андрейко,Аврелій,Євгенович,Чоловіча,1955-02-03,Кіноактор,хутір Зміїв,"площа Асташкіна, буд. 040 кв. 416, Новомиргород, 55437",+380 (55) 682-25-51,lzhadan@example.org
Закусило,Єфрем,Андрійович,Чоловіча,1954-12-24,Бібліограф,селище Переяслав,"сквер Трамвайна, буд. 8 кв. 04, Кілія, 61974",+380 44 496-01-13,oksana43@example.org
Якимчук,Аліна,Сергіївна,Жіноча,1989-09-12,Електротехнік,місто Хирів,"проспект Крилова, буд. 80, Рудки, 14783",+380 (21) 078-31-34,ada93@example.net
Гупало,Оксенія,Федорівна,Жіноча,1943-04-22,Філолог,село Куп'янськ,"провулок Аеродромний 1-й, буд. 580, Карлівка, 68634",111 88 60,andriichukamaliia@example.net
Палій,Степан,Романович,Чоловіча,1973-12-07,Громадський діяч,селище Нікополь,"парк Вишнева, буд. 5, Тячів, 40073",300-55-80,alla99@example.com
Литвин,Віолетта,Василівна,Жіноча,1939-09-28,Конструктор,селище Сніжне,"провулок Травневий 2-й, буд. 8 кв. 7, Селидове, 52433",+380 10 217-40-21,xzaporozhets@example.org
Притула,Амвросій,Богданович,Чоловіча,1949-04-02,Диригент,селище Білогірськ,"провулок Ялинкова, буд. 4, Вознесенськ, 19751",+380 12 155-67-63,tverdokhlibmaryna@example.org
Чубай,Хома,Михайлович,Чоловіча,1941-12-05,Паблік рилейшнз,місто Гуляйполе,"провулок Восьмого березня 4-й, буд. 4 кв. 4, Бережани, 75694",+380 (18) 443-67-65,darkhymovych@example.org
Іщак,Єлисей,Євгенович,Чоловіча,1944-09-09,Астрофізик,селище Камінь-Каширський,"парк Раїси Сергієнко, буд. 974, Гадяч, 86276",031 080 52 13,bebeshkoklavdiia@example.com
Щорс,Трохим,Васильович,Чоловіча,1968-09-08,Краєзнавець,хутір Коломия,"сквер Троїцька, буд. 500, Ровеньки, 39248",+380 75 210 50 60,marta34@example.org
Шутько,Артем,Андрійович,Чоловіча,1982-03-12,Дизайнер,селище Донецьк,"площа Чайковського, буд. 5 кв. 33, Семенівка, 65818",462-71-50,iaronets@example.com
Байдак,Богуслав,Петрович,Чоловіча,1991-05-07,Парфюмер,село Остер ,"проспект Новосельского, буд. 220, Славутич, 25089",+380 64 293-68-00,pprykhodko@example.com
Чорновіл,Варвара,Олегівна,Жіноча,1939-03-19,Флорист,село Федорівка,"набережна Стельмаха, буд. 73, Глиняни, 64645",+380 11 863 02 10,leopoldabramenko@example.net
Мамчур,Богуслав,Андрійович,Чоловіча,1986-06-04,Кушнір,село Рубіжне,"узвіз Аркадійська, буд. 6, Соснівка , 65276",+380 85 706 13 18,baleksandrenko@example.com
Рябець,Сергій,Євгенович,Чоловіча,1943-11-30,Програміст,хутір Феодосія,"парк Севастопольський, буд. 429 кв. 491, Красногорівка, 01344",549-40-78,iukhym89@example.org
Короленко,Леопольд,Євгенович,Чоловіча,1960-05-10,Візажист,хутір Новий Буг,"провулок Ангарська, буд. 273, Часів Яр, 26926",886-50-01,edytariabets@example.org
Уманець,Михайло,Андрійович,Чоловіча,1987-04-26,Редактор,хутір Переяслав,"узвіз Університетський, буд. 531 кв. 0, Черкаси, 55902",095 197 20 71,albert44@example.org
Міщенко,Марта,Романівна,Жіноча,1971-10-25,Краєзнавець,село Бахмач,"узвіз Красна, буд. 81 кв. 369, Вуглегірськ, 97277",567 94 58,artemdzyndra@example.net
Андрійчук,Клавдія,Олегівна,Жіноча,1997-11-07,Журналіст,хутір Ладижин,"провулок Хвойний, буд. 44 кв. 181, Київ, 60924",+380 20 260 90 90,iashchukorkhyp@example.net
Гунько,Веніямин,Леонідович,Чоловіча,1988-10-08,Математик,місто Кіцмань,"проспект Уральська, буд. 7, Березне, 33166",+380 (09) 512-04-35,apavlychenko@example.net
Фаренюк,Азар,Степанович,Чоловіча,1971-05-27,Науковець,селище Копичинці,"набережна Дунаєва, буд. 2, Снятин, 29010",+380 29 781-80-57,bohuslav61@example.net
Бандурка,Алевтин,Олегович,Чоловіча,2003-02-20,Електротехнік,село Антрацит ,"вулиця Адміральський, буд. 3, Берислав, 69749",075 695 16 79,zasukhaokseniia@example.org
Остапчук,Спас,Михайлович,Чоловіча,1941-10-03,Водій,село Вашківці,"проспект Соляний 1-й, буд. 971 кв. 42, Глобине, 46381",+380 23 854-49-80,orestchupryna@example.org
Лагода,Едуард,Михайлович,Чоловіча,2007-06-03,Водій,місто Дергачі,"проспект Ванний, буд. 709 кв. 796, Канів, 86790",010 551-77-73,ostapvitruk@example.org
Оробець,Давид,Степанович,Чоловіча,1980-07-13,Вчитель,місто Голубівка,"провулок Лізи Чайкіної, буд. 8 кв. 55, Новий Калинів, 41520",845-98-62,wshtokalo@example.com
Бабій,Аврелій,Іванович,Чоловіча,1977-05-10,Мірошник,хутір Ямпіль,"провулок Слєпньова, буд. 5 кв. 179, Угнів, 11273",027 55 65,olehpalii@example.com
Ґалаґан,Святослав,Володимирович,Чоловіча,1962-04-20,Няня,місто Конотоп,"проспект Новаторів, буд. 514 кв. 799, Бурштин , 72881",016 595 31 51,borys54@example.com
Василашко,Опанас,Олегович,Чоловіча,1970-05-22,Хімік,селище Заліщики,"парк Аграрна, буд. 99 кв. 628, Дебальцеве, 46936",+380 (58) 333-18-26,tetiana88@example.org
Демʼянюк,Клавдія,Леонідівна,Жіноча,1960-08-02,Продюсер,хутір Чоп,"парк Комітетська, буд. 5, Бібрка, 46125",+380 71 556 90 96,venedykt15@example.com
Гузій,Орися,Олександрівна,Жіноча,1939-11-24,Менеджер,селище Старий Самбір,"шосе Віри Холодної, буд. 0 кв. 683, Севастополь, 45814",+380 88 757-75-47,makar40@example.org
Атаманюк,Аніта,Іванівна,Жіноча,1973-11-05,Інженер,місто Хмільник,"набережна Купріна, буд. 43 кв. 566, Коростишів, 43463",+380 (58) 845-02-78,ihnat44@example.org
Дзиндра,Франц,Васильович,Чоловіча,1966-06-15,Електротехнік,хутір Берегове,"провулок Дюківська, буд. 212, Мостиська, 82589",+380 87 815-86-62,lhavryliuk@example.org
Шеремет,Соломія,Михайлівна,Жіноча,1970-01-12,Вчитель,селище Ківерці,"узвіз Незалежності, буд. 94 кв. 27, Новоукраїнка, 36942",+380 (60) 275-05-55,arsenieroshenko@example.com
Шведченко,Сніжана,Степанівна,Жіноча,1990-05-14,Редактор,селище Чоп,"сквер Бригадна, буд. 720, Кам'янець-Подільський, 41659",633-26-57,sskoryk@example.org
Зайченко,Святослав,Миколайович,Чоловіча,1956-11-02,Прокурор,хутір Первомайськ,"узвіз Панаса Мирного, буд. 5, Надвірна, 31758",+380 (76) 816-47-63,prokopovychiarema@example.com
Тесля,Ярослав,Михайлович,Чоловіча,1958-12-26,Швачка,місто Кропивницький,"проспект Докова, буд. 41 кв. 938, Мелітополь, 80344",+380 51 289-97-42,xshvedchenko@example.org
Семенченко,Захар,Григорович,Чоловіча,1954-12-28,Епідеміолог,селище Бобринець,"узвіз Балтський 5-й, буд. 591, Звенигородка, 83734",+380 (99) 404-68-69,ievhen29@example.net
Яремко,Галина,Федорівна,Жіноча,2005-12-03,Шериф,селище Корюківка,"шосе Давида Ойстраха, буд. 28, Малин, 35630",+380 00 636-89-37,vbabychenko@example.org
Артимович,Борис,Богданович,Чоловіча,1959-03-13,Доцент,селище Полонне,"проспект Пляжна, буд. 7 кв. 7, Городок, 44993",+380 01 281 62 29,tkhorishko@example.com
Чаленко,Еріка,Михайлівна,Жіноча,1995-07-10,Круп'є,селище Славута,"площа Прибережний, буд. 696 кв. 51, Жданівка, 95018",040 944 37 93,chubaistepan@example.com
Цибуленко,Антон,Дмитрович,Чоловіча,1948-09-25,Живописець,місто Рогатин,"набережна Дев’ята, буд. 3, Красилів, 67901",091 571 13 16,kolisnychenkoopanas@example.com
Гайдай,Еріка,Григорівна,Жіноча,1994-02-15,Мовознавець,селище Щастя ,"вулиця Італійський, буд. 654 кв. 402, Тальне, 86852",+380 (76) 078-53-63,iosypderhach@example.net
Щорс,Едита,Андріївна,Жіноча,1946-04-10,Стропальник,хутір Миколаївка ,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Новомосковськ, 50258",+380 (11) 158-38-03,xchuiko@example.com
Москаль,Азар,Михайлович,Чоловіча,1956-04-27,Мірошник,село Хорол ,"парк Володимира Вінниченка, буд. 62, Заводське, 90014",772-82-69,xchuiko@example.net
Уманець,Марко,Євгенович,Чоловіча,1949-08-02,Слідчий,село Ізяслав,"вулиця Павла Кравцова, буд. 29 кв. 4, Енергодар, 31494",010 016 54 18,parmen01@example.com
Малишко,Аврелій,Володимирович,Чоловіча,1942-11-03,Єгер,місто Кальміуське,"сквер Любашівський, буд. 6 кв. 92, Алушта, 65730",226-12-00,petro40@example.org
Величко,Алла,Сергіївна,Жіноча,1974-12-28,Головний меркшейдер,місто Жашків,"проспект 40-річчя оборони Одеси, буд. 5 кв. 7, Южноукраїнськ, 96330",+380 24 776-46-93,alevtynieroshenko@example.org
Смик,Хома,Леонідович,Чоловіча,1959-06-30,Стоматолог,місто Буринь,"сквер Академіка Богатського, буд. 2, Кам'янка (Черкаська область), 62969",035 215-47-66,albinalutsenko@example.net
Ярош,Валерій,Михайлович,Чоловіча,1947-08-04,Геолог,хутір Тячів,"провулок Перемоги, буд. 6, Хрустальний, 47741",+380 (97) 446-83-17,virakabanenko@example.org
Швачка,Макар,Андрійович,Чоловіча,1946-03-15,Науковець,хутір Бар,"проспект Черкаська, буд. 958, Попасна, 43656",+380 61 354 62 25,zakharenkopriska@example.org
Дергач,Юстина,Макарівна,Жіноча,1962-08-31,Фрілансер,місто Люботин,"шосе Будівельна, буд. 56 кв. 659, Коломия, 84061",357-92-13,avreliivitruk@example.net
Шаблій,Онисим,Макарович,Чоловіча,1959-05-26,Дизайнер,село Корюківка,"сквер Єліна, буд. 5 кв. 84, Кропивницький, 16573",+380 57 936 50 23,ilienkofrants@example.com
Заїка,Галина,Володимирівна,Жіноча,1973-12-16,Психолог,місто Андрушівка,"набережна Старокінний, буд. 028, Зеленодольськ, 24454",072 369-91-22,zinkevychliudmyla@example.com
Талан,Одарка,Петрівна,Жіноча,1951-04-26,Патологоанатом,селище Новомосковськ,"площа Серединський, буд. 468, Керч, 93768",+380 15 541 28 35,ruslan59@example.com
Масляк,Богданна,Михайлівна,Жіноча,1948-01-18,Письменник,місто Новоград-Волинський,"узвіз Мічуріна, буд. 841, Решетилівка, 62566",+380 31 969 23 18,mykytaiukhymenko@example.org
Гайденко,Златослава,Олександрівна,Жіноча,1946-01-21,Ґрунтознавець,село Судова Вишня,"площа Леха Качинського, буд. 6 кв. 948, Євпаторія, 77768",461 40 51,isaienkoiustyna@example.com
Валенко,Христина,Андріївна,Жіноча,1998-08-02,Громадський діяч,місто Чортків,"провулок Травневий, буд. 3 кв. 0, Чугуїв, 55434",759 00 37,iaroslava67@example.net
Остапчук,Валентина,Олександрівна,Жіноча,1960-06-10,Штукатур,село Світловодськ,"сквер Маразліївська, буд. 407, Зіньків, 81206",+380 01 927-80-50,mnikoliuk@example.net
Жадан,Кирило,Дмитрович,Чоловіча,1961-02-20,Астроном,місто Моспине,"сквер Бучми, буд. 188 кв. 73, Полтава, 44622",+380 31 345-01-35,nartymovych@example.com
Вернигора,Віктор,Андрійович,Чоловіча,2007-09-04,Фольклорист,селище Молочанськ,"вулиця Буніна, буд. 00 кв. 0, Мерефа, 27902",099 352-29-17,klavdiiadankiv@example.net
Забашта,Борислав,Сергійович,Чоловіча,1994-01-03,Публіцист,місто Ізюм,"парк Ольгіївська, буд. 9 кв. 404, Славутич, 22747",086 980 79 92,shmorhunveniiamyn@example.net
Палій,Руслан,Дмитрович,Чоловіча,2000-04-11,Детектив,селище Ковель,"проспект Азербайджан, буд. 371 кв. 87, Миргород, 81731",+380 07 097-66-74,bohuslava05@example.org
Шведченко,Михайло,Дмитрович,Чоловіча,1974-08-28,Геофізик,селище Косів,"узвіз Бодаревського, буд. 700, Ладижин, 45847",+380 28 283 28 99,taranedyta@example.net
Гаврилишин,Дмитро,Дмитрович,Чоловіча,1966-03-03,Ювелір,село Рудки,"парк Лузанівський, буд. 12 кв. 587, Славута, 44719",022 813 96 23,ievhen47@example.com
Калениченко,Яків,Макарович,Чоловіча,1945-12-26,Вчитель,місто Хорол ,"узвіз Конструкторський, буд. 8 кв. 90, Радомишль, 16727",704-70-76,makar28@example.org
Демиденко,Панас,Сергійович,Чоловіча,1988-05-24,Композитор,місто Дружківка,"шосе Мічуріна, буд. 819 кв. 503, Золочів, 13513",+380 58 724-11-05,qperebyinis@example.net
Цимбалюк,Франц,Олександрович,Чоловіча,1962-10-12,Бібліограф,хутір Новий Буг,"набережна Західний 4-й, буд. 169 кв. 13, Радивилів, 42048",457 28 38,kyrylo36@example.com
Луценко,Марина,Романівна,Жіноча,1989-06-16,Няня,селище Саки ,"парк Архітектурна, буд. 896, Ананьїв, 11363",+380 43 304-67-08,boryslav89@example.net
Ващенко,Едита,Андріївна,Жіноча,2007-12-31,Петрограф,село Борзна,"узвіз Заводська 1-ша, буд. 1, Камінь-Каширський, 01493",072 409 30 21,dankivleopold@example.com
Кабаненко,Демид,Леонідович,Чоловіча,1946-05-20,Режисер,село Мерефа,"парк Восьмого березня 9-й, буд. 13 кв. 5, Херсон, 53975",+380 01 135-26-24,iakiv33@example.com
Вдовиченко,Федір,Дмитрович,Чоловіча,1986-08-25,Секретар,місто Борислав,"шосе Якутська, буд. 9, Буськ, 47592",582 30 63,pkarmaliuk@example.net
Ґереґа,Віра,Євгенівна,Жіноча,1949-07-08,Мовознавець,село Старий Самбір,"провулок 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 160 кв. 289, П'ятихатки, 16786",461-26-11,albina70@example.org
Гаврилів,Роксолана,Богданівна,Жіноча,1989-02-21,Флорист,селище Канів,"площа Одеса-Головна, буд. 54 кв. 3, Звенигородка, 28891",565 83 62,zaietstymofii@example.net
Кащенко,Соломія,Миколаївна,Жіноча,1983-09-18,Електрослюсар,село Гірське,"шосе Індійська, буд. 7, Дубно, 82645",+380 (08) 825-05-45,romanchukalevtyn@example.com
Макогон,Онисим,Андрійович,Чоловіча,1955-06-30,Літературознавець,хутір Почаїв,"площа Ветеранів праці, буд. 294, Кипуче, 50507",647-53-78,bairaksemen@example.net
Ляшко,Василина,Дмитрівна,Жіноча,1988-10-27,Ді-джей,селище Волочиськ,"узвіз Докова, буд. 105 кв. 7, Богуслав, 37930",+380 40 773-29-40,odemianchuk@example.net
Вернидуб,Левко,Дмитрович,Чоловіча,1945-03-12,Фізик,місто Армянськ,"сквер Дніпропетровська дорога, буд. 131 кв. 29, Луганськ, 97024",042 509 89 24,olhakhmara@example.org
Бабиченко,Едуард,Петрович,Чоловіча,1952-03-05,Візажист,село Золоте,"провулок Першотравневий 1-й, буд. 7 кв. 488, Енергодар, 12456",092 022-33-39,dmytro90@example.com
Фоменко,Кирило,Васильович,Чоловіча,1990-12-18,Хімік,селище Полонне,"проспект Хаджибейський 3-й, буд. 78 кв. 965, Новоград-Волинський, 34201",065 999 41 60,lizausyk@example.net
Чумаченко,Соломон,Степанович,Чоловіча,1947-12-05,Флорист,село Сіверськ,"провулок Лиманна, буд. 3 кв. 47, Путивль, 19484",077 609 55 14,baranykhalyna@example.org
Гайдабура,Валентина,Миколаївна,Жіноча,1948-07-26,Державний службовець,село Вовчанськ,"провулок Канатна, буд. 78, Зборів, 30726",+380 (59) 346-56-85,fgerega@example.org
Палій,Соломія,Федорівна,Жіноча,1945-12-18,Філолог,місто Острог,"шосе Харківська, буд. 025 кв. 366, Кіцмань, 01873",+380 (24) 285-60-24,olemeshko@example.org
Якименко,Ольга,Миколаївна,Жіноча,1980-03-05,Музичний редактор,хутір Алмазна,"проспект Шебелінський, буд. 374 кв. 293, Самбір, 86504",060 343 89 67,nadiia63@example.com
Годунок,Аарон,Васильович,Чоловіча,1997-07-28,Дантист,хутір Берестечко,"узвіз Яблунева, буд. 8, Кипуче, 47690",823-42-72,stefanisaienko@example.org
Савенко,Опанас,Богданович,Чоловіча,1995-09-25,Державний службовець,село Дрогобич,"шосе Новомосковська дорога, буд. 82 кв. 0, Ржищів, 77990",096 198 68 46,zhaliloarkadii@example.com
Павличенко,Азар,Андрійович,Чоловіча,1943-08-07,Дизайнер,селище Ялта,"узвіз Єнісейська, буд. 139 кв. 3, Дрогобич, 01971",023 321-16-86,aierchenko@example.org
Христенко,Ярина,Михайлівна,Жіноча,1983-03-15,Стропальник,місто Мена ,"проспект Хімічна, буд. 2, Світловодськ, 67107",+380 (04) 876-36-65,tsybulenkostepan@example.net
Чередник,Сергій,Сергійович,Чоловіча,1971-07-02,Історик,селище Стрий,"провулок 2-га Суворовська, буд. 5, Олександрія, 99427",+380 00 547 82 42,tiahnybokroksolana@example.org
Артеменко,Августин,Федорович,Чоловіча,1939-08-15,Паралегал,село Добромиль,"сквер Академіка Богатського, буд. 4 кв. 6, Миронівка, 08696",468 27 75,pavlo23@example.net
Журавель,Ярослава,Петрівна,Жіноча,1964-03-14,Науковець,хутір Кам'янка (Черкаська область),"проспект Флотський 2-й, буд. 404 кв. 89, Чорноморськ, 49157",+380 (81) 548-74-85,orynavertyporokh@example.net
Зінченко,Ігор,Дмитрович,Чоловіча,1982-03-26,Графік,місто Арциз,"проспект Степна, буд. 4, Берегове, 36225",928-31-73,havryshaaron@example.org
Гайда,Данило,Олександрович,Чоловіча,1973-03-02,Піаніст,місто Умань,"проспект Академіка Заболотного, буд. 5 кв. 58, Оріхів, 63221",051 413 24 24,dankevychmartyn@example.com
Скоробогатько,Нестор,Сергійович,Чоловіча,1938-09-29,Дизайнер,місто Хорол ,"парк Лізи Чайкіної, буд. 96, Докучаєвськ, 84932",278 09 66,avrelii62@example.org
Наливайко,Мілена,Олександрівна,Жіноча,1991-05-22,Стоматолог,село Вільногірськ,"сквер Дерибасівська, буд. 82 кв. 69, Харцизьк, 40791",+380 61 122-22-32,prokhirdemianenko@example.net
Вовк,Альбіна,Олександрівна,Жіноча,1993-11-03,Фармацевт,селище Коломия,"проспект Пересипська 9-та, буд. 749 кв. 3, Татарбунари, 68998",043 703-16-39,gdakhno@example.com
Оніщук,Єлисей,Юрійович,Чоловіча,2006-07-07,Прокурор,селище Березань ,"провулок Литовська, буд. 636, Докучаєвськ, 01457",516-87-99,arsenychfedir@example.com
Рак,Миколай,Дмитрович,Чоловіча,1957-06-27,Круп'є,село Тростянець,"проспект Професора Каришковського, буд. 58, Каховка, 09030",+380 82 086-45-76,ievtushenkohalyna@example.org
Нестеренко,Тетяна,Федорівна,Жіноча,1950-08-30,Інженер,місто Яготин,"провулок Дукова, буд. 0 кв. 208, Березівка, 74897",+380 58 880-03-31,oleh90@example.com
Вакуленко,Пилип,Васильович,Чоловіча,1953-05-12,Сантехнік,село Пирятин,"сквер Університетський, буд. 029 кв. 76, Ладижин, 28339",+380 16 952 52 64,saienkoalevtyn@example.org
Перепелиця,Гордій,Миколайович,Чоловіча,1982-02-16,Мистецтвознавець,хутір Слов'янськ,"вулиця Довга, буд. 50, Севастополь, 49770",+380 09 824-19-44,iosyp77@example.org
Гоголь,Герман,Іванович,Чоловіча,1955-12-27,М'ясник,місто Дергачі,"парк Лазурний 2-й, буд. 6 кв. 799, Калуш, 81874",080 489-64-09,bandurkahavrylo@example.org
Верхола,Наталія,Макарівна,Жіноча,1940-05-09,Няня,село Хрестівка,"набережна Виноградна 3-тя, буд. 276, Новий Калинів, 65835",+380 15 488-12-33,humanets@example.org
Шухевич,Леонід,Євгенович,Чоловіча,2001-05-30,Інженер,хутір Городенка,"площа Тінистий, буд. 9, Баштанка, 83228",+380 (00) 110-83-69,hieshchenko@example.com
Цюпа,Зиновій,Богданович,Чоловіча,1973-06-04,Історик,селище Костянтинівка,"набережна Лермонтовський, буд. 3, Бровари, 81464",035 923 56 74,liliiavertyporokh@example.net
Теліженко,Аліна,Андріївна,Жіноча,2001-02-23,Фольклорист,селище Новомосковськ,"сквер Наклонна, буд. 1 кв. 27, Вознесенівка, 59131",+380 13 617-20-25,vdotsenko@example.org
Юхименко,Мирослав,Володимирович,Чоловіча,1952-11-07,Актор,місто Новий Калинів,"парк Мариністів, буд. 56 кв. 504, Славутич, 47427",+380 49 392 83 52,valeriiartym@example.net
Михалюк,Лукʼян,Макарович,Чоловіча,1940-06-04,Швачка,місто Балта,"вулиця Героїв оборони Одеси, буд. 438 кв. 7, Лозова , 71173",085-36-94,okhrimshapoval@example.net
Юрчук,Дарина,Леонідівна,Жіноча,2005-05-24,Електромонтер,село Зеленодольськ,"площа Рівності 2-й, буд. 017, Тернопіль, 30274",014 974-27-64,volodymyrtkach@example.net
Александренко,Марта,Романівна,Жіноча,1946-01-24,Електрослюсар,село Тлумач,"парк 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 772, Дергачі, 83311",077 142 60 71,onysymbabychenko@example.com
Олійник,Стефан,Романович,Чоловіча,1974-06-14,Штукатур,селище Рудки,"проспект Долинська, буд. 7 кв. 633, Сіверськ, 60904",+380 (94) 834-63-44,iaroslavabaidak@example.net
Чабан,Костянтин,Дмитрович,Чоловіча,1939-01-05,Фрілансер,селище Путивль,"сквер Висоцького, буд. 80 кв. 454, Ладижин, 42685",+380 75 680 75 36,olenakanivets@example.net
Ватаманюк,Ілля,Макарович,Чоловіча,1995-09-11,Менеджер,хутір Гірник ,"шосе Соборна, буд. 646 кв. 371, Ладижин, 33531",+380 (31) 171-65-28,hredko@example.org
Гаврилів,Емілія,Михайлівна,Жіноча,1962-05-30,Графік,село Петрово-Красносілля,"проспект Закарпатська, буд. 317, Остер , 79067",+380 (21) 745-03-62,levkoonishchuk@example.org
Аврамчук,Гаврило,Васильович,Чоловіча,1968-06-07,Стиліст,місто Приморськ (Україна),"шосе Лінія 45-та, буд. 99 кв. 9, Феодосія, 90600",055 724 52 91,venedykt21@example.com
Охріменко,Пріска,Василівна,Жіноча,1981-01-14,Нотаріус,село Городище ,"шосе Кришталева, буд. 82 кв. 932, Українка , 54543",097 673-80-28,valeriidubas@example.com
Захарченко,Яків,Васильович,Чоловіча,1989-10-06,Нотаріус,місто Молодогвардійськ,"площа Рульовий, буд. 65 кв. 436, Василівка , 84185",011 385-93-06,albina21@example.net
